2019-09-08 05:21:28  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-09-08 05:21:28  | Get Last Order from Redis
2019-09-08 05:21:28  | Get Last Order from Redis
2019-09-08 05:21:28  | Get Last Order from Redis
2019-09-08 05:21:28  | Get Last Order from Redis
2019-09-08 05:21:28  | Get Last Order from Redis
2019-09-08 05:21:28  | My Order List is  [] 
2019-09-08 05:21:28  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-08 05:21:28  | Spawn Trader  dongwkim-trader1 
2019-09-08 05:21:28  | Current Trader is dongwkim-trader1
2019-09-08 05:21:28  | Get Last Order from Redis
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.3/a:310.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -1(-0.2%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.3/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -1(-0.2%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.4/a:310.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.2%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.4/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.2%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.4/a:310.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.2%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.4/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.2%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.4/a:310.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.2%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.1/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.2%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.2/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.2%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.2/a:310.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.2%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.2/a:310.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.1%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.2/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.1%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.3/a:310.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.1%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.3/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.1%)/   0(0.0%) Avg:  311/ 310 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.3/a:310.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.1%)/   0(0.0%) Avg:  311/ 310 | deal (0) | bal:217,567  
2019-09-08 05:30:07  | TEST  | Price: p:310.3/b:310.1/a:310.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.5%)/  -0(-0.1%)/   0(0.0%) Avg:  311/ 310 | deal (0) | bal:217,567  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:310.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:310.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.2/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.2/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.2/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:310.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:310.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.2/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.2/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.2/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.1/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.3/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.2/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.2/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.2/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.5/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
2019-09-08 05:42:11  | TEST  | Price: p:310.6/b:310.4/a:311.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,777  
