2019-08-01 01:54:27  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-08-01 01:54:27  | Get Last Order from Redis
2019-08-01 01:54:27  | Get Last Order from Redis
2019-08-01 01:54:27  | Get Last Order from Redis
2019-08-01 01:54:27  | Get Last Order from Redis
2019-08-01 01:54:27  | Get Last Order from Redis
2019-08-01 01:54:27  | My Order List is  [] 
2019-08-01 01:54:27  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-08-01 01:54:27  | Spawn Trader  dongwkim-trader1 
2019-08-01 01:54:27  | Current Trader is dongwkim-trader1
2019-08-01 01:54:27  | Get Last Order from Redis
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:319.1/a:327.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -6(-1.9%)/  -4(-1.2%)/   0(0.0%) Avg:  322/ 321 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:319.1/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.1/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.7/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.7/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.6/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.1/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.7/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.6/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.7/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.7/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.6/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.7/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.1/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.6/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.1/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.7/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.7/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.4/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.6/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.1/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.7/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.6/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.7/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.6/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.8/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.7/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.6/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.5/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.6/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.5/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.6/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.5/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:324.0/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
2019-08-01 01:53:00  | TEST  | Price: p:319.0/b:320.0/a:323.9/l:320 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -4(-1.2%)/   0(0.0%)/   0(0.0%) Avg:  321/ 319 | deal (0) | bal:223,667  
